TF_service_name,TF_terraform_resource_name,TF_aws_sdk_resource_name,TF_num_before_sdk_calls,TF_num_intermediate_sdk_calls,TF_num_after_sdk_calls,TF_num_create_function_stack_calls,TF_num_create_function_only_calls,TF_create_function_only_calls,TF_file_path,SR_service_name,SR_operation_name,SR_authorized_actions-authorized_action-Name,SR_authorized_actions-action_details-resource_details-name,SR_authorized_actions-action_details-resource_details-arn-arn_template,BC_operation_name,BC_input_shape_name,BC_is_required,BC_total_arn_variable_count,BC_successful_arn_variable_count
redshift,aws_redshift_cluster_iam_roles,Cluster IAM Roles,0,0,1,2,1,ModifyClusterIamRoles,/Users/hbwei/terraform-provider-aws/internal/service/redshift/cluster_iam_roles.go,redshift,redshift:ModifyClusterIamRoles,redshift:ModifyClusterIamRoles,cluster,arn:${Partition}:redshift:${Region}:${Account}:cluster:${ClusterName},,,,1,0
backup,aws_backup_report_plan,Report Plan,0,0,1,2,1,CreateReportPlan,/Users/hbwei/terraform-provider-aws/internal/service/backup/report_plan.go,backup,backup:CreateReportPlan,backup:CreateReportPlan,reportPlan,arn:${Partition}:backup:${Region}:${Account}:report-plan:${ReportPlanName}-${ReportPlanId},CreateReportPlan,CreateReportPlanInput,true,1,1
securityhub,aws_securityhub_action_target,Action Target,0,0,1,2,1,CreateActionTarget,/Users/hbwei/terraform-provider-aws/internal/service/securityhub/action_target.go,securityhub,securityhub:CreateActionTarget,securityhub:CreateActionTarget,hub,arn:${Partition}:securityhub:${Region}:${Account}:hub/default,,,,0,0
codebuild,aws_codebuild_project,Project,0,0,1,3,2,UpdateProjectVisibility,/Users/hbwei/terraform-provider-aws/internal/service/codebuild/project.go,codebuild,codebuild:UpdateProjectVisibility,codebuild:UpdateProjectVisibility,project,arn:${Partition}:codebuild:${Region}:${Account}:project/${ProjectName},,,,1,0
synthetics,aws_synthetics_group,Group,0,0,1,2,1,CreateGroup,/Users/hbwei/terraform-provider-aws/internal/service/synthetics/group.go,synthetics,synthetics:CreateGroup,synthetics:CreateGroup,,,,,,0,0
rds,aws_db_proxy,DB Proxy,0,0,1,2,1,CreateDBProxy,/Users/hbwei/terraform-provider-aws/internal/service/rds/proxy.go,rds,rds:CreateDBProxy,rds:CreateDBProxy,,,,,,0,0
ec2,aws_vpc_dhcp_options,DHCP Options,0,0,1,2,1,CreateDhcpOptions,/Users/hbwei/terraform-provider-aws/internal/service/ec2/vpc_dhcp_options.go,ec2,ec2:CreateDhcpOptions,ec2:CreateDhcpOptions,dhcp-options,arn:${Partition}:ec2:${Region}:${Account}:dhcp-options/${DhcpOptionsId},,,,1,0
codepipeline,aws_codepipeline_custom_action_type,Custom Action Type,0,0,1,2,1,CreateCustomActionType,/Users/hbwei/terraform-provider-aws/internal/service/codepipeline/custom_action_type.go,codepipeline,codepipeline:CreateCustomActionType,codepipeline:CreateCustomActionType,actiontype,arn:${Partition}:codepipeline:${Region}:${Account}:actiontype:${Owner}/${Category}/${Provider}/${Version},,,,1,0
firehose,aws_kinesis_firehose_delivery_stream,Delivery Stream,0,1,1,3,2,StartDeliveryStreamEncryption,/Users/hbwei/terraform-provider-aws/internal/service/firehose/delivery_stream.go,firehose,firehose:StartDeliveryStreamEncryption,firehose:StartDeliveryStreamEncryption,deliverystream,arn:${Partition}:firehose:${Region}:${Account}:deliverystream/${DeliveryStreamName},StartDeliveryStreamEncryption,StartDeliveryStreamEncryptionInput,true,1,1
grafana,aws_grafana_workspace_saml_configuration,Grafana Workspace SAML Configuration,1,0,1,3,1,UpdateWorkspaceAuthentication,/Users/hbwei/terraform-provider-aws/internal/service/grafana/workspace_saml_configuration.go,grafana,grafana:UpdateWorkspaceAuthentication,grafana:UpdateWorkspaceAuthentication,workspace,arn:${Partition}:grafana:${Region}:${Account}:/workspaces/${ResourceId},,,,1,0
