TF_service_name,TF_terraform_resource_name,TF_aws_sdk_resource_name,TF_num_before_sdk_calls,TF_num_intermediate_sdk_calls,TF_num_after_sdk_calls,TF_num_create_function_stack_calls,TF_num_create_function_only_calls,TF_create_function_only_calls,TF_file_path,SR_service_name,SR_operation_name,SR_authorized_actions-authorized_action-Name,SR_authorized_actions-action_details-resource_details-name,SR_authorized_actions-action_details-resource_details-arn-arn_template,BC_operation_name,BC_input_shape_name,BC_is_required,BC_total_arn_variable_count,BC_successful_arn_variable_count
ec2,aws_ec2_transit_gateway,Transit Gateway,0,1,1,3,2,CreateTransitGateway,/Users/hbwei/terraform-provider-aws/internal/service/ec2/transitgateway_.go,ec2,ec2:CreateTransitGateway,ec2:CreateTransitGateway,transit-gateway,arn:${Partition}:ec2:${Region}:${Account}:transit-gateway/${TransitGatewayId},,,,1,0
storagegateway,aws_storagegateway_nfs_file_share,NFS File Share,0,0,1,2,1,CreateNFSFileShare,/Users/hbwei/terraform-provider-aws/internal/service/storagegateway/nfs_file_share.go,storagegateway,storagegateway:CreateNFSFileShare,storagegateway:CreateNFSFileShare,gateway,arn:${Partition}:storagegateway:${Region}:${Account}:gateway/${GatewayId},,,,1,0
ec2,aws_ebs_snapshot_copy,EBS Snapshot Copy,0,1,2,4,2,CopySnapshot,/Users/hbwei/terraform-provider-aws/internal/service/ec2/ebs_snapshot_copy.go,ec2,ec2:CopySnapshot,ec2:CopySnapshot,snapshot,arn:${Partition}:ec2:${Region}::snapshot/${SnapshotId},,,,1,0
transfer,aws_transfer_ssh_key,SSH Key,0,0,1,2,1,ImportSshPublicKey,/Users/hbwei/terraform-provider-aws/internal/service/transfer/ssh_key.go,transfer,transfer:ImportSshPublicKey,transfer:ImportSshPublicKey,user,arn:${Partition}:transfer:${Region}:${Account}:user/${ServerId}/${UserName},ImportSshPublicKey,ImportSshPublicKeyRequest,true,2,2
ivschat,aws_ivschat_logging_configuration,Logging Configuration,0,0,1,2,1,CreateLoggingConfiguration,/Users/hbwei/terraform-provider-aws/internal/service/ivschat/logging_configuration.go,ivschat,ivschat:CreateLoggingConfiguration,ivschat:CreateLoggingConfiguration,Logging-Configuration,arn:${Partition}:ivschat:${Region}:${Account}:logging-configuration/${ResourceId},,,,1,0
iot,aws_iot_topic_rule_destination,Topic Rule Destination,0,2,2,4,2,UpdateTopicRuleDestination,/Users/hbwei/terraform-provider-aws/internal/service/iot/topic_rule_destination.go,iot,iot:UpdateTopicRuleDestination,iot:UpdateTopicRuleDestination,destination,arn:${Partition}:iot:${Region}:${Account}:ruledestination/${DestinationType}/${Uuid},,,,2,0
evidently,aws_evidently_launch,Launch,0,0,1,2,1,CreateLaunch,/Users/hbwei/terraform-provider-aws/internal/service/evidently/launch.go,evidently,evidently:CreateLaunch,evidently:CreateLaunch,,,,,,0,0
sagemaker,aws_sagemaker_monitoring_schedule,Monitoring Schedule,0,0,1,2,1,CreateMonitoringSchedule,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/monitoring_schedule.go,sagemaker,sagemaker:CreateMonitoringSchedule,sagemaker:CreateMonitoringSchedule,monitoring-schedule,arn:${Partition}:sagemaker:${Region}:${Account}:monitoring-schedule/${MonitoringScheduleName},CreateMonitoringSchedule,CreateMonitoringScheduleRequest,true,1,1
autoscaling,aws_autoscaling_group,Group,0,4,1,10,6,SuspendProcesses,/Users/hbwei/terraform-provider-aws/internal/service/autoscaling/group.go,autoscaling,autoscaling:SuspendProcesses,autoscaling:SuspendProcesses,autoScalingGroup,arn:${Partition}:autoscaling:${Region}:${Account}:autoScalingGroup:${GroupId}:autoScalingGroupName/${GroupFriendlyName},,,,2,0
ec2,aws_ebs_snapshot_import,EBS Snapshot Import,0,1,2,5,2,ModifySnapshotTier,/Users/hbwei/terraform-provider-aws/internal/service/ec2/ebs_snapshot_import.go,ec2,ec2:ModifySnapshotTier,ec2:ModifySnapshotTier,snapshot,arn:${Partition}:ec2:${Region}::snapshot/${SnapshotId},ModifySnapshotTier,ModifySnapshotTierRequest,true,1,1
xray,aws_xray_group,Group,0,0,1,2,1,CreateGroup,/Users/hbwei/terraform-provider-aws/internal/service/xray/group.go,xray,xray:CreateGroup,xray:CreateGroup,group,arn:${Partition}:xray:${Region}:${Account}:group/${GroupName}/${Id},CreateGroup,CreateGroupRequest,true,1,1
dax,aws_dax_parameter_group,Parameter Group,0,0,3,4,1,CreateParameterGroup,/Users/hbwei/terraform-provider-aws/internal/service/dax/parameter_group.go,dax,dax:CreateParameterGroup,dax:CreateParameterGroup,,,,,,0,0
iam,aws_iam_policy,Policy,0,0,2,3,1,CreatePolicy,/Users/hbwei/terraform-provider-aws/internal/service/iam/policy.go,iam,iam:CreatePolicy,iam:CreatePolicy,policy,arn:${Partition}:iam::${Account}:policy/${PolicyNameWithPath},,,,1,0
lightsail,aws_lightsail_bucket_access_key,Bucket Access Key,0,0,2,3,1,CreateBucketAccessKey,/Users/hbwei/terraform-provider-aws/internal/service/lightsail/bucket_access_key.go,lightsail,lightsail:CreateBucketAccessKey,lightsail:CreateBucketAccessKey,Bucket,arn:${Partition}:lightsail:${Region}:${Account}:Bucket/${Id},,,,1,0
iot,aws_iot_certificate,Certificate,0,0,1,5,4,CreateCertificateFromCsr,/Users/hbwei/terraform-provider-aws/internal/service/iot/certificate.go,iot,iot:CreateCertificateFromCsr,iot:CreateCertificateFromCsr,,,,,,0,0
licensemanager,aws_licensemanager_association,Association,0,0,1,2,1,UpdateLicenseSpecificationsForResource,/Users/hbwei/terraform-provider-aws/internal/service/licensemanager/association.go,license-manager,license-manager:UpdateLicenseSpecificationsForResource,license-manager:UpdateLicenseSpecificationsForResource,license-configuration,arn:${Partition}:license-manager:${Region}:${Account}:license-configuration:${LicenseConfigurationId},,,,1,0
ssm,aws_ssm_parameter,Parameter,0,0,2,3,1,PutParameter,/Users/hbwei/terraform-provider-aws/internal/service/ssm/parameter.go,ssm,ssm:PutParameter,ssm:PutParameter,parameter,arn:${Partition}:ssm:${Region}:${Account}:parameter/${ParameterNameWithoutLeadingSlash},,,,1,0
workspaces,aws_workspaces_directory,Directory,0,1,1,8,7,ModifyWorkspaceAccessProperties,/Users/hbwei/terraform-provider-aws/internal/service/workspaces/directory.go,workspaces,workspaces:ModifyWorkspaceAccessProperties,workspaces:ModifyWorkspaceAccessProperties,directoryid,arn:${Partition}:workspaces:${Region}:${Account}:directory/${DirectoryId},,,,1,0
rolesanywhere,aws_rolesanywhere_trust_anchor,Trust Anchor,0,0,1,2,1,CreateTrustAnchor,/Users/hbwei/terraform-provider-aws/internal/service/rolesanywhere/trust_anchor.go,rolesanywhere,rolesanywhere:CreateTrustAnchor,rolesanywhere:CreateTrustAnchor,,,,,,0,0
apprunner,aws_apprunner_vpc_connector,VPC Connector,0,0,1,2,1,CreateVpcConnector,/Users/hbwei/terraform-provider-aws/internal/service/apprunner/vpc_connector.go,apprunner,apprunner:CreateVpcConnector,apprunner:CreateVpcConnector,vpcconnector,arn:${Partition}:apprunner:${Region}:${Account}:vpcconnector/${VpcConnectorName}/${VpcConnectorVersion}/${VpcConnectorId},,,,2,0
networkmanager,aws_networkmanager_device,Device,0,0,1,2,1,CreateDevice,/Users/hbwei/terraform-provider-aws/internal/service/networkmanager/device.go,networkmanager,networkmanager:CreateDevice,networkmanager:CreateDevice,global-network,arn:${Partition}:networkmanager::${Account}:global-network/${ResourceId},,,,1,0
cloudformation,aws_cloudformation_stack,Stack,0,0,3,4,1,CreateStack,/Users/hbwei/terraform-provider-aws/internal/service/cloudformation/stack.go,cloudformation,cloudformation:CreateStack,cloudformation:CreateStack,stack,arn:${Partition}:cloudformation:${Region}:${Account}:stack/${StackName}/${Id},CreateStack,CreateStackInput,true,1,1
glue,aws_glue_registry,Registry,0,0,1,2,1,CreateRegistry,/Users/hbwei/terraform-provider-aws/internal/service/glue/registry.go,glue,glue:CreateRegistry,glue:CreateRegistry,registry,arn:${Partition}:glue:${Region}:${Account}:registry/${RegistryName},CreateRegistry,CreateRegistryInput,true,1,1
guardduty,aws_guardduty_detector,Detector,0,0,1,2,1,CreateDetector,/Users/hbwei/terraform-provider-aws/internal/service/guardduty/detector.go,guardduty,guardduty:CreateDetector,guardduty:CreateDetector,,,,,,0,0
sagemaker,aws_sagemaker_servicecatalog_portfolio_status,Servicecatalog Portfolio Status,0,0,1,3,2,EnableSagemakerServicecatalogPortfolio,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/servicecatalog_portfolio_status.go,sagemaker,sagemaker:EnableSagemakerServicecatalogPortfolio,sagemaker:EnableSagemakerServicecatalogPortfolio,,,,,,0,0
emrserverless,aws_emrserverless_application,Application,0,0,1,2,1,CreateApplication,/Users/hbwei/terraform-provider-aws/internal/service/emrserverless/application.go,emr-serverless,emr-serverless:CreateApplication,emr-serverless:CreateApplication,,,,,,0,0
connect,aws_connect_user_hierarchy_group,User Hierarchy Group,0,0,1,2,1,CreateUserHierarchyGroup,/Users/hbwei/terraform-provider-aws/internal/service/connect/user_hierarchy_group.go,connect,connect:CreateUserHierarchyGroup,connect:CreateUserHierarchyGroup,hierarchy-group,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/agent-group/${HierarchyGroupId},CreateUserHierarchyGroup,CreateUserHierarchyGroupRequest,true,1,1
secretsmanager,aws_secretsmanager_secret_rotation,Secret Rotation,0,0,1,2,1,RotateSecret,/Users/hbwei/terraform-provider-aws/internal/service/secretsmanager/secret_rotation.go,secretsmanager,secretsmanager:RotateSecret,secretsmanager:RotateSecret,Secret,arn:${Partition}:secretsmanager:${Region}:${Account}:secret:${SecretId},RotateSecret,RotateSecretRequest,true,1,1
organizations,aws_organizations_organization,Organization,0,0,6,7,1,CreateOrganization,/Users/hbwei/terraform-provider-aws/internal/service/organizations/organization.go,organizations,organizations:CreateOrganization,organizations:CreateOrganization,,,,,,0,0
dynamodb,aws_dynamodb_table_export,Table Export,0,0,1,2,1,ExportTableToPointInTime,/Users/hbwei/terraform-provider-aws/internal/service/dynamodb/table_export.go,dynamodb,dynamodb:ExportTableToPointInTime,dynamodb:ExportTableToPointInTime,table,arn:${Partition}:dynamodb:${Region}:${Account}:table/${TableName},,,,1,0
connect,aws_connect_contact_flow,Contact Flow,0,0,1,2,1,CreateContactFlow,/Users/hbwei/terraform-provider-aws/internal/service/connect/contact_flow.go,connect,connect:CreateContactFlow,connect:CreateContactFlow,contact-flow,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/contact-flow/${ContactFlowId},CreateContactFlow,CreateContactFlowRequest,true,1,1
s3,aws_s3_bucket_replication_configuration,Bucket Replication Configuration,0,0,1,2,1,PutBucketReplication,/Users/hbwei/terraform-provider-aws/internal/service/s3/bucket_replication_configuration.go,s3,s3:PutBucketReplication,s3:PutReplicationConfiguration,bucket,arn:${Partition}:s3:::${BucketName},,,,2,0
rds,aws_db_instance,DB Instance,1,1,1,8,6,RebootDBInstance,/Users/hbwei/terraform-provider-aws/internal/service/rds/instance.go,rds,rds:RebootDBInstance,rds:RebootDBInstance,db,arn:${Partition}:rds:${Region}:${Account}:db:${DbInstanceName},,,,3,0
eks,aws_eks_fargate_profile,Fargate Profile,0,0,1,2,1,CreateFargateProfile,/Users/hbwei/terraform-provider-aws/internal/service/eks/fargate_profile.go,eks,eks:CreateFargateProfile,eks:CreateFargateProfile,cluster,arn:${Partition}:eks:${Region}:${Account}:cluster/${ClusterName},CreateFargateProfile,CreateFargateProfileRequest,true,1,1
ec2,aws_spot_datafeed_subscription,Spot Datafeed Subscription,0,0,1,2,1,CreateSpotDatafeedSubscription,/Users/hbwei/terraform-provider-aws/internal/service/ec2/ec2_spot_datafeed_subscription.go,ec2,ec2:CreateSpotDatafeedSubscription,ec2:CreateSpotDatafeedSubscription,,,,,,0,0
sagemaker,aws_sagemaker_endpoint_configuration,Endpoint Configuration,0,0,1,2,1,CreateEndpointConfig,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/endpoint_configuration.go,sagemaker,sagemaker:CreateEndpointConfig,sagemaker:CreateEndpointConfig,endpoint-config,arn:${Partition}:sagemaker:${Region}:${Account}:endpoint-config/${EndpointConfigName},CreateEndpointConfig,CreateEndpointConfigInput,true,1,1
appsync,aws_appsync_api_key,API Key,0,0,1,2,1,CreateApiKey,/Users/hbwei/terraform-provider-aws/internal/service/appsync/api_key.go,appsync,appsync:CreateApiKey,appsync:CreateApiKey,,,,,,0,0
storagegateway,aws_storagegateway_smb_file_share,SMB File Share,0,0,1,2,1,CreateSMBFileShare,/Users/hbwei/terraform-provider-aws/internal/service/storagegateway/smb_file_share.go,storagegateway,storagegateway:CreateSMBFileShare,storagegateway:CreateSMBFileShare,gateway,arn:${Partition}:storagegateway:${Region}:${Account}:gateway/${GatewayId},,,,1,0
iot,aws_iot_thing_type,Thing Type,0,0,1,3,2,DeprecateThingType,/Users/hbwei/terraform-provider-aws/internal/service/iot/thing_type.go,iot,iot:DeprecateThingType,iot:DeprecateThingType,thingtype,arn:${Partition}:iot:${Region}:${Account}:thingtype/${ThingTypeName},DeprecateThingType,DeprecateThingTypeRequest,true,1,1
iam,aws_iam_saml_provider,SAML Provider,0,0,1,2,1,CreateSAMLProvider,/Users/hbwei/terraform-provider-aws/internal/service/iam/saml_provider.go,iam,iam:CreateSAMLProvider,iam:CreateSAMLProvider,saml-provider,arn:${Partition}:iam::${Account}:saml-provider/${SamlProviderName},,,,1,0
shield,aws_shield_protection,Protection,0,0,1,2,1,CreateProtection,/Users/hbwei/terraform-provider-aws/internal/service/shield/protection.go,shield,shield:CreateProtection,shield:CreateProtection,,,,,,0,0
identitystore,aws_identitystore_group,Group,0,0,1,2,1,CreateGroup,/Users/hbwei/terraform-provider-aws/internal/service/identitystore/group.go,identitystore,identitystore:CreateGroup,identitystore:CreateGroup,Identitystore,arn:${Partition}:identitystore::${Account}:identitystore/${IdentityStoreId},CreateGroup,CreateGroupRequest,true,1,1
datasync,aws_datasync_location_fsx_lustre_file_system,Location FSx for Lustre File System,0,0,1,2,1,CreateLocationFsxLustre,/Users/hbwei/terraform-provider-aws/internal/service/datasync/location_fsx_lustre_file_system.go,datasync,datasync:CreateLocationFsxLustre,datasync:CreateLocationFsxLustre,,,,,,0,0
events,aws_cloudwatch_event_permission,Permission,0,0,1,2,1,PutPermission,/Users/hbwei/terraform-provider-aws/internal/service/events/permission.go,events,events:PutPermission,events:PutPermission,,,,,,0,0
elasticbeanstalk,aws_elastic_beanstalk_configuration_template,Configuration Template,0,0,1,2,1,CreateConfigurationTemplate,/Users/hbwei/terraform-provider-aws/internal/service/elasticbeanstalk/configuration_template.go,elasticbeanstalk,elasticbeanstalk:CreateConfigurationTemplate,elasticbeanstalk:CreateConfigurationTemplate,configurationtemplate,arn:${Partition}:elasticbeanstalk:${Region}:${Account}:configurationtemplate/${ApplicationName}/${TemplateName},CreateConfigurationTemplate,CreateConfigurationTemplateMessage,true,2,2
inspector2,aws_inspector2_enabler,Enabler,0,1,1,3,2,Enable,/Users/hbwei/terraform-provider-aws/internal/service/inspector2/enabler.go,inspector2,inspector2:Enable,inspector2:Enable,,,,,,0,0
elasticbeanstalk,aws_elastic_beanstalk_environment,Environment,0,0,4,5,1,CreateEnvironment,/Users/hbwei/terraform-provider-aws/internal/service/elasticbeanstalk/environment.go,elasticbeanstalk,elasticbeanstalk:CreateEnvironment,elasticbeanstalk:CreateEnvironment,environment,arn:${Partition}:elasticbeanstalk:${Region}:${Account}:environment/${ApplicationName}/${EnvironmentName},CreateEnvironment,CreateEnvironmentMessage,false,1,1
ec2,aws_ami_launch_permission,AMI Launch Permission,0,0,1,2,1,ModifyImageAttribute,/Users/hbwei/terraform-provider-aws/internal/service/ec2/ec2_ami_launch_permission.go,ec2,ec2:ModifyImageAttribute,ec2:ModifyImageAttribute,image,arn:${Partition}:ec2:${Region}::image/${ImageId},ModifyImageAttribute,ModifyImageAttributeRequest,true,1,1
kendra,aws_kendra_thesaurus,Thesaurus,0,0,1,2,1,CreateThesaurus,/Users/hbwei/terraform-provider-aws/internal/service/kendra/thesaurus.go,kendra,kendra:CreateThesaurus,kendra:CreateThesaurus,index,arn:${Partition}:kendra:${Region}:${Account}:index/${IndexId},CreateThesaurus,CreateThesaurusRequest,true,1,1
appconfig,aws_appconfig_deployment_strategy,Deployment Strategy,0,0,1,2,1,CreateDeploymentStrategy,/Users/hbwei/terraform-provider-aws/internal/service/appconfig/deployment_strategy.go,appconfig,appconfig:CreateDeploymentStrategy,appconfig:CreateDeploymentStrategy,,,,,,0,0
securityhub,aws_securityhub_invite_accepter,Invite Accepter,1,0,1,3,1,AcceptInvitation,/Users/hbwei/terraform-provider-aws/internal/service/securityhub/invite_accepter.go,securityhub,securityhub:AcceptInvitation,securityhub:AcceptInvitation,hub,arn:${Partition}:securityhub:${Region}:${Account}:hub/default,,,,0,0
cognitoidentity,aws_cognito_identity_pool_provider_principal_tag,Provider Principal Tags,0,0,1,2,1,SetPrincipalTagAttributeMap,/Users/hbwei/terraform-provider-aws/internal/service/cognitoidentity/pool_provider_principal_tag.go,cognito-identity,cognito-identity:SetPrincipalTagAttributeMap,cognito-identity:SetPrincipalTagAttributeMap,,,,,,0,0
detective,aws_detective_organization_admin_account,Organization Admin Account,0,0,1,2,1,EnableOrganizationAdminAccount,/Users/hbwei/terraform-provider-aws/internal/service/detective/organization_admin_account.go,detective,detective:EnableOrganizationAdminAccount,detective:EnableOrganizationAdminAccount,,,,,,0,0
directconnect,aws_dx_bgp_peer,BGP Peer,0,0,1,2,1,CreateBGPPeer,/Users/hbwei/terraform-provider-aws/internal/service/directconnect/bgp_peer.go,directconnect,directconnect:CreateBGPPeer,directconnect:CreateBGPPeer,dxvif,arn:${Partition}:directconnect:${Region}:${Account}:dxvif/${VirtualInterfaceId},CreateBGPPeer,CreateBGPPeerRequest,false,1,1
autoscaling,aws_autoscaling_group,Group,0,4,1,10,6,EnableMetricsCollection,/Users/hbwei/terraform-provider-aws/internal/service/autoscaling/group.go,autoscaling,autoscaling:EnableMetricsCollection,autoscaling:EnableMetricsCollection,autoScalingGroup,arn:${Partition}:autoscaling:${Region}:${Account}:autoScalingGroup:${GroupId}:autoScalingGroupName/${GroupFriendlyName},,,,2,0
kafka,aws_msk_serverless_cluster,Serverless Cluster,0,0,2,3,1,CreateClusterV2,/Users/hbwei/terraform-provider-aws/internal/service/kafka/serverless_cluster.go,kafka,kafka:CreateClusterV2,kafka:CreateClusterV2,cluster,arn:${Partition}:kafka:${Region}:${Account}:cluster/${ClusterName}/${Uuid},,,,1,0
storagegateway,aws_storagegateway_gateway,Gateway,0,2,5,14,9,JoinDomain,/Users/hbwei/terraform-provider-aws/internal/service/storagegateway/gateway.go,storagegateway,storagegateway:JoinDomain,storagegateway:JoinDomain,gateway,arn:${Partition}:storagegateway:${Region}:${Account}:gateway/${GatewayId},,,,1,0
resourcegroups,aws_resourcegroups_group,Group,0,0,3,4,1,CreateGroup,/Users/hbwei/terraform-provider-aws/internal/service/resourcegroups/group.go,resource-groups,resource-groups:CreateGroup,resource-groups:CreateGroup,,,,,,0,0
guardduty,aws_guardduty_member,Member,0,1,1,3,2,InviteMembers,/Users/hbwei/terraform-provider-aws/internal/service/guardduty/member.go,guardduty,guardduty:InviteMembers,guardduty:InviteMembers,,,,,,0,0
kinesis,aws_kinesis_stream_consumer,Stream Consumer,0,0,1,2,1,RegisterStreamConsumer,/Users/hbwei/terraform-provider-aws/internal/service/kinesis/stream_consumer.go,kinesis,kinesis:RegisterStreamConsumer,kinesis:RegisterStreamConsumer,stream,arn:${Partition}:kinesis:${Region}:${Account}:stream/${StreamName},,,,1,0
amplify,aws_amplify_branch,Branch,0,0,1,2,1,CreateBranch,/Users/hbwei/terraform-provider-aws/internal/service/amplify/branch.go,amplify,amplify:CreateBranch,amplify:CreateBranch,branches,arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/branches/${BranchName},CreateBranch,CreateBranchRequest,true,2,2
cloudfront,aws_cloudfront_function,Function,0,0,2,4,2,CreateFunction,/Users/hbwei/terraform-provider-aws/internal/service/cloudfront/function.go,cloudfront,cloudfront:CreateFunction,cloudfront:CreateFunction,,,,,,0,0
route53recoverycontrolconfig,aws_route53recoverycontrolconfig_control_panel,Control Panel,0,0,1,2,1,CreateControlPanel,/Users/hbwei/terraform-provider-aws/internal/service/route53recoverycontrolconfig/control_panel.go,route53-recovery-control-config,route53-recovery-control-config:CreateControlPanel,route53-recovery-control-config:CreateControlPanel,controlpanel,arn:${Partition}:route53-recovery-control::${Account}:controlpanel/${ControlPanelId},,,,1,0
elasticache,aws_elasticache_user,User,0,0,1,2,1,CreateUser,/Users/hbwei/terraform-provider-aws/internal/service/elasticache/user.go,elasticache,elasticache:CreateUser,elasticache:CreateUser,user,arn:${Partition}:elasticache:${Region}:${Account}:user:${UserId},CreateUser,CreateUserMessage,true,1,1
s3,aws_s3_bucket_versioning,Bucket Versioning,0,0,1,2,1,PutBucketVersioning,/Users/hbwei/terraform-provider-aws/internal/service/s3/bucket_versioning.go,s3,s3:PutBucketVersioning,s3:PutBucketVersioning,bucket,arn:${Partition}:s3:::${BucketName},,,,2,0
ssm,aws_ssm_maintenance_window,Maintenance Window,0,0,1,3,2,CreateMaintenanceWindow,/Users/hbwei/terraform-provider-aws/internal/service/ssm/maintenance_window.go,ssm,ssm:CreateMaintenanceWindow,ssm:CreateMaintenanceWindow,,,,,,0,0
athena,aws_athena_workgroup,WorkGroup,0,0,1,3,2,CreateWorkGroup,/Users/hbwei/terraform-provider-aws/internal/service/athena/workgroup.go,athena,athena:CreateWorkGroup,athena:CreateWorkGroup,workgroup,arn:${Partition}:athena:${Region}:${Account}:workgroup/${WorkGroupName},,,,1,0
emrcontainers,aws_emrcontainers_job_template,Job Template,0,0,1,2,1,CreateJobTemplate,/Users/hbwei/terraform-provider-aws/internal/service/emrcontainers/job_template.go,emr-containers,emr-containers:CreateJobTemplate,emr-containers:CreateJobTemplate,,,,,,0,0
securityhub,aws_securityhub_member,Member,0,0,1,3,2,CreateMembers,/Users/hbwei/terraform-provider-aws/internal/service/securityhub/member.go,securityhub,securityhub:CreateMembers,securityhub:CreateMembers,hub,arn:${Partition}:securityhub:${Region}:${Account}:hub/default,,,,0,0
securityhub,aws_securityhub_organization_configuration,Organization Configuration,0,0,1,2,1,UpdateOrganizationConfiguration,/Users/hbwei/terraform-provider-aws/internal/service/securityhub/organization_configuration.go,securityhub,securityhub:UpdateOrganizationConfiguration,securityhub:UpdateOrganizationConfiguration,hub,arn:${Partition}:securityhub:${Region}:${Account}:hub/default,,,,0,0
backup,aws_backup_framework,Framework,0,0,1,2,1,CreateFramework,/Users/hbwei/terraform-provider-aws/internal/service/backup/framework.go,backup,backup:CreateFramework,backup:CreateFramework,framework,arn:${Partition}:backup:${Region}:${Account}:framework:${FrameworkName}-${FrameworkId},,,,1,0
lakeformation,aws_lakeformation_resource,Resource,0,0,1,2,1,RegisterResource,/Users/hbwei/terraform-provider-aws/internal/service/lakeformation/resource.go,lakeformation,lakeformation:RegisterResource,lakeformation:RegisterResource,,,,,,0,0
ec2,aws_vpn_gateway,VPN Gateway,0,0,2,3,1,CreateVpnGateway,/Users/hbwei/terraform-provider-aws/internal/service/ec2/vpnsite_gateway.go,ec2,ec2:CreateVpnGateway,ec2:CreateVpnGateway,vpn-gateway,arn:${Partition}:ec2:${Region}:${Account}:vpn-gateway/${VpnGatewayId},,,,1,0
servicecatalog,aws_servicecatalog_provisioning_artifact,Provisioning Artifact,0,0,2,3,1,CreateProvisioningArtifact,/Users/hbwei/terraform-provider-aws/internal/service/servicecatalog/provisioning_artifact.go,servicecatalog,servicecatalog:CreateProvisioningArtifact,servicecatalog:CreateProvisioningArtifact,Product,arn:${Partition}:catalog:${Region}:${Account}:product/${ProductId},CreateProvisioningArtifact,CreateProvisioningArtifactInput,true,1,1
servicediscovery,aws_service_discovery_instance,Instance,0,0,2,3,1,RegisterInstance,/Users/hbwei/terraform-provider-aws/internal/service/servicediscovery/instance.go,servicediscovery,servicediscovery:RegisterInstance,servicediscovery:RegisterInstance,service,arn:${Partition}:servicediscovery:${Region}:${Account}:service/${ServiceId},RegisterInstance,RegisterInstanceRequest,true,1,1
lightsail,aws_lightsail_container_service,Container Service,0,1,1,3,2,CreateContainerService,/Users/hbwei/terraform-provider-aws/internal/service/lightsail/container_service.go,lightsail,lightsail:CreateContainerService,lightsail:CreateContainerService,,,,,,0,0
shield,aws_shield_protection_group,Protection Group,0,0,1,2,1,CreateProtectionGroup,/Users/hbwei/terraform-provider-aws/internal/service/shield/protection_group.go,shield,shield:CreateProtectionGroup,shield:CreateProtectionGroup,,,,,,0,0
redshiftserverless,aws_redshiftserverless_endpoint_access,Endpoint Access,0,0,1,2,1,CreateEndpointAccess,/Users/hbwei/terraform-provider-aws/internal/service/redshiftserverless/endpoint_access.go,redshift-serverless,redshift-serverless:CreateEndpointAccess,redshift-serverless:CreateEndpointAccess,endpointAccess,arn:${Partition}:redshift-serverless:${Region}:${Account}:managedvpcendpoint/${EndpointAccessId},,,,1,0
autoscaling,aws_autoscaling_lifecycle_hook,Lifecycle Hook,0,0,1,2,1,PutLifecycleHook,/Users/hbwei/terraform-provider-aws/internal/service/autoscaling/lifecycle_hook.go,autoscaling,autoscaling:PutLifecycleHook,autoscaling:PutLifecycleHook,autoScalingGroup,arn:${Partition}:autoscaling:${Region}:${Account}:autoScalingGroup:${GroupId}:autoScalingGroupName/${GroupFriendlyName},,,,2,0
backup,aws_backup_selection,Selection,0,0,1,2,1,CreateBackupSelection,/Users/hbwei/terraform-provider-aws/internal/service/backup/selection.go,backup,backup:CreateBackupSelection,backup:CreateBackupSelection,backupPlan,arn:${Partition}:backup:${Region}:${Account}:backup-plan:${BackupPlanId},CreateBackupSelection,CreateBackupSelectionInput,true,1,1
appmesh,aws_appmesh_mesh,Service Mesh,0,0,1,2,1,CreateMesh,/Users/hbwei/terraform-provider-aws/internal/service/appmesh/mesh.go,appmesh,appmesh:CreateMesh,appmesh:CreateMesh,mesh,arn:${Partition}:appmesh:${Region}:${Account}:mesh/${MeshName},CreateMesh,CreateMeshInput,true,1,1
ds,aws_directory_service_conditional_forwarder,Conditional Forwarder,0,0,1,2,1,CreateConditionalForwarder,/Users/hbwei/terraform-provider-aws/internal/service/ds/conditional_forwarder.go,ds,ds:CreateConditionalForwarder,ds:CreateConditionalForwarder,directory,arn:${Partition}:ds:${Region}:${Account}:directory/${DirectoryId},CreateConditionalForwarder,CreateConditionalForwarderRequest,true,1,1
workspaces,aws_workspaces_directory,Directory,0,1,1,8,7,ModifySelfservicePermissions,/Users/hbwei/terraform-provider-aws/internal/service/workspaces/directory.go,workspaces,workspaces:ModifySelfservicePermissions,workspaces:ModifySelfservicePermissions,directoryid,arn:${Partition}:workspaces:${Region}:${Account}:directory/${DirectoryId},,,,1,0
ses,aws_ses_active_receipt_rule_set,Active Receipt Rule Set,0,0,1,2,1,SetActiveReceiptRuleSet,/Users/hbwei/terraform-provider-aws/internal/service/ses/active_receipt_rule_set.go,ses,ses:SetActiveReceiptRuleSet,ses:SetActiveReceiptRuleSet,,,,,,0,0
mq,aws_mq_configuration,Configuration,0,0,2,4,2,CreateConfiguration,/Users/hbwei/terraform-provider-aws/internal/service/mq/configuration.go,mq,mq:CreateConfiguration,mq:CreateConfiguration,,,,,,0,0
codebuild,aws_codebuild_webhook,Webhook,0,0,1,2,1,CreateWebhook,/Users/hbwei/terraform-provider-aws/internal/service/codebuild/webhook.go,codebuild,codebuild:CreateWebhook,codebuild:CreateWebhook,project,arn:${Partition}:codebuild:${Region}:${Account}:project/${ProjectName},CreateWebhook,CreateWebhookInput,true,1,1
