TF_service_name,TF_terraform_resource_name,TF_aws_sdk_resource_name,TF_num_before_sdk_calls,TF_num_intermediate_sdk_calls,TF_num_after_sdk_calls,TF_num_create_function_stack_calls,TF_num_create_function_only_calls,TF_create_function_only_calls,TF_file_path,SR_service_name,SR_operation_name,SR_authorized_actions-authorized_action-Name,SR_authorized_actions-action_details-resource_details-name,SR_authorized_actions-action_details-resource_details-arn-arn_template,SR_authorized_actions-action_details-resource_details-arn-arn_variables,BC_operation_name,BC_input_shape_name,BC_member_name,BC_is_required,BC_member_shape_name,BC_member_shape_type,TF_successful_arn_variable_match
redshiftserverless,aws_redshiftserverless_endpoint_access,Endpoint Access,0,0,1,2,1,CreateEndpointAccess,/Users/hbwei/terraform-provider-aws/internal/service/redshiftserverless/endpoint_access.go,redshift-serverless,redshift-serverless:CreateEndpointAccess,redshift-serverless:CreateEndpointAccess,endpointAccess,arn:${Partition}:redshift-serverless:${Region}:${Account}:managedvpcendpoint/${EndpointAccessId},EndpointAccessId,,,,,,,false
sagemaker,aws_sagemaker_image_version,Image Version,0,0,2,3,1,CreateImageVersion,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/image_version.go,sagemaker,sagemaker:CreateImageVersion,sagemaker:CreateImageVersion,image,arn:${Partition}:sagemaker:${Region}:${Account}:image/${ImageName},ImageName,CreateImageVersion,CreateImageVersionRequest,ImageName,true,ImageName,string,true
route53resolver,aws_route53_resolver_config,Config,0,0,1,2,1,UpdateResolverConfig,/Users/hbwei/terraform-provider-aws/internal/service/route53resolver/config.go,route53resolver,route53resolver:UpdateResolverConfig,route53resolver:UpdateResolverConfig,resolver-config,arn:${Partition}:route53resolver:${Region}:${Account}:resolver-config/${ResourceId},ResourceId,UpdateResolverConfig,UpdateResolverConfigRequest,ResourceId,true,ResourceId,string,true
grafana,aws_grafana_workspace,Workspace,0,0,2,3,1,CreateWorkspace,/Users/hbwei/terraform-provider-aws/internal/service/grafana/workspace.go,grafana,grafana:CreateWorkspace,grafana:CreateWorkspace,,,,,,,,,,false
lightsail,aws_lightsail_key_pair,KeyPair,0,0,2,4,2,CreateKeyPair,/Users/hbwei/terraform-provider-aws/internal/service/lightsail/key_pair.go,lightsail,lightsail:CreateKeyPair,lightsail:CreateKeyPair,,,,,,,,,,false
storagegateway,aws_storagegateway_gateway,Gateway,0,2,5,14,9,UpdateMaintenanceStartTime,/Users/hbwei/terraform-provider-aws/internal/service/storagegateway/gateway.go,storagegateway,storagegateway:UpdateMaintenanceStartTime,storagegateway:UpdateMaintenanceStartTime,gateway,arn:${Partition}:storagegateway:${Region}:${Account}:gateway/${GatewayId},GatewayId,,,,,,,false
servicediscovery,aws_service_discovery_public_dns_namespace,Public DNS Namespace,0,0,2,3,1,CreatePublicDnsNamespace,/Users/hbwei/terraform-provider-aws/internal/service/servicediscovery/public_dns_namespace.go,servicediscovery,servicediscovery:CreatePublicDnsNamespace,servicediscovery:CreatePublicDnsNamespace,,,,,,,,,,false
securityhub,aws_securityhub_invite_accepter,Invite Accepter,1,0,1,3,1,AcceptInvitation,/Users/hbwei/terraform-provider-aws/internal/service/securityhub/invite_accepter.go,securityhub,securityhub:AcceptInvitation,securityhub:AcceptInvitation,hub,arn:${Partition}:securityhub:${Region}:${Account}:hub/default,,,,,,,,false
sagemaker,aws_sagemaker_servicecatalog_portfolio_status,Servicecatalog Portfolio Status,0,0,1,3,2,EnableSagemakerServicecatalogPortfolio,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/servicecatalog_portfolio_status.go,sagemaker,sagemaker:EnableSagemakerServicecatalogPortfolio,sagemaker:EnableSagemakerServicecatalogPortfolio,,,,,,,,,,false
securityhub,aws_securityhub_finding_aggregator,Finding Aggregator,0,0,1,2,1,CreateFindingAggregator,/Users/hbwei/terraform-provider-aws/internal/service/securityhub/finding_aggregator.go,securityhub,securityhub:CreateFindingAggregator,securityhub:CreateFindingAggregator,,,,,,,,,,false
kinesis,aws_kinesis_stream,Stream,0,1,1,5,4,IncreaseStreamRetentionPeriod,/Users/hbwei/terraform-provider-aws/internal/service/kinesis/stream.go,kinesis,kinesis:IncreaseStreamRetentionPeriod,kinesis:IncreaseStreamRetentionPeriod,stream,arn:${Partition}:kinesis:${Region}:${Account}:stream/${StreamName},StreamName,IncreaseStreamRetentionPeriod,IncreaseStreamRetentionPeriodInput,StreamName,false,StreamName,string,true
redshift,aws_redshift_snapshot_schedule_association,Snapshot Schedule Association,0,0,1,2,1,ModifyClusterSnapshotSchedule,/Users/hbwei/terraform-provider-aws/internal/service/redshift/snapshot_schedule_association.go,redshift,redshift:ModifyClusterSnapshotSchedule,redshift:ModifyClusterSnapshotSchedule,cluster,arn:${Partition}:redshift:${Region}:${Account}:cluster:${ClusterName},ClusterName,,,,,,,false
lightsail,aws_lightsail_distribution,Distribution,0,1,2,4,2,UpdateDistribution,/Users/hbwei/terraform-provider-aws/internal/service/lightsail/distribution.go,lightsail,lightsail:UpdateDistribution,lightsail:UpdateDistribution,Distribution,arn:${Partition}:lightsail:${Region}:${Account}:Distribution/${Id},Id,,,,,,,false
memorydb,aws_memorydb_user,User,0,0,1,2,1,CreateUser,/Users/hbwei/terraform-provider-aws/internal/service/memorydb/user.go,memorydb,memorydb:CreateUser,memorydb:CreateUser,,,,,,,,,,false
iam,aws_iam_user_policy,User Policy,0,0,1,2,1,PutUserPolicy,/Users/hbwei/terraform-provider-aws/internal/service/iam/user_policy.go,iam,iam:PutUserPolicy,iam:PutUserPolicy,user,arn:${Partition}:iam::${Account}:user/${UserNameWithPath},UserNameWithPath,,,,,,,false
ec2,aws_ec2_managed_prefix_list_entry,Managed Prefix List Entry,1,0,2,3,1,ModifyManagedPrefixList,/Users/hbwei/terraform-provider-aws/internal/service/ec2/vpc_managed_prefix_list_entry.go,ec2,ec2:ModifyManagedPrefixList,ec2:ModifyManagedPrefixList,prefix-list,arn:${Partition}:ec2:${Region}:${Account}:prefix-list/${PrefixListId},PrefixListId,ModifyManagedPrefixList,ModifyManagedPrefixListRequest,PrefixListId,true,PrefixListResourceId,string,true
s3,aws_s3_bucket_versioning,Bucket Versioning,0,0,1,2,1,PutBucketVersioning,/Users/hbwei/terraform-provider-aws/internal/service/s3/bucket_versioning.go,s3,s3:PutBucketVersioning,s3:PutBucketVersioning,bucket,arn:${Partition}:s3:::${BucketName},BucketName,,,,,,,false
athena,aws_athena_workgroup,WorkGroup,0,0,1,3,2,UpdateWorkGroup,/Users/hbwei/terraform-provider-aws/internal/service/athena/workgroup.go,athena,athena:UpdateWorkGroup,athena:UpdateWorkGroup,workgroup,arn:${Partition}:athena:${Region}:${Account}:workgroup/${WorkGroupName},WorkGroupName,,,,,,,false
datasync,aws_datasync_location_smb,Location SMB,0,0,1,2,1,CreateLocationSmb,/Users/hbwei/terraform-provider-aws/internal/service/datasync/location_smb.go,datasync,datasync:CreateLocationSmb,datasync:CreateLocationSmb,,,,,,,,,,false
oam,aws_oam_sink,Sink,0,0,1,2,1,CreateSink,/Users/hbwei/terraform-provider-aws/internal/service/oam/sink.go,oam,oam:CreateSink,oam:CreateSink,,,,,,,,,,false
backup,aws_backup_global_settings,Global Settings,0,0,1,2,1,UpdateGlobalSettings,/Users/hbwei/terraform-provider-aws/internal/service/backup/global_settings.go,backup,backup:UpdateGlobalSettings,backup:UpdateGlobalSettings,,,,,,,,,,false
dms,aws_dms_replication_subnet_group,Replication Subnet Group,0,0,1,2,1,CreateReplicationSubnetGroup,/Users/hbwei/terraform-provider-aws/internal/service/dms/replication_subnet_group.go,dms,dms:CreateReplicationSubnetGroup,dms:CreateReplicationSubnetGroup,,,,,,,,,,false
autoscaling,aws_autoscaling_traffic_source_attachment,Traffic Source Attachment,0,0,1,2,1,AttachTrafficSources,/Users/hbwei/terraform-provider-aws/internal/service/autoscaling/traffic_source_attachment.go,autoscaling,autoscaling:AttachTrafficSources,autoscaling:AttachTrafficSources,autoScalingGroup,arn:${Partition}:autoscaling:${Region}:${Account}:autoScalingGroup:${GroupId}:autoScalingGroupName/${GroupFriendlyName},GroupId,,,,,,,false
autoscaling,aws_autoscaling_traffic_source_attachment,Traffic Source Attachment,0,0,1,2,1,AttachTrafficSources,/Users/hbwei/terraform-provider-aws/internal/service/autoscaling/traffic_source_attachment.go,autoscaling,autoscaling:AttachTrafficSources,autoscaling:AttachTrafficSources,autoScalingGroup,arn:${Partition}:autoscaling:${Region}:${Account}:autoScalingGroup:${GroupId}:autoScalingGroupName/${GroupFriendlyName},GroupFriendlyName,,,,,,,false
storagegateway,aws_storagegateway_gateway,Gateway,0,2,5,14,9,UpdateSMBSecurityStrategy,/Users/hbwei/terraform-provider-aws/internal/service/storagegateway/gateway.go,storagegateway,storagegateway:UpdateSMBSecurityStrategy,storagegateway:UpdateSMBSecurityStrategy,gateway,arn:${Partition}:storagegateway:${Region}:${Account}:gateway/${GatewayId},GatewayId,,,,,,,false
transfer,aws_transfer_certificate,Certificate,0,0,1,2,1,ImportCertificate,/Users/hbwei/terraform-provider-aws/internal/service/transfer/certificate.go,transfer,transfer:ImportCertificate,transfer:ImportCertificate,,,,,,,,,,false
s3,aws_s3_bucket_cors_configuration,Bucket CORS Configuration,0,0,1,2,1,PutBucketCors,/Users/hbwei/terraform-provider-aws/internal/service/s3/bucket_cors_configuration.go,s3,s3:PutBucketCors,s3:PutBucketCORS,bucket,arn:${Partition}:s3:::${BucketName},BucketName,,,,,,,false
backup,aws_backup_plan,Plan,0,0,1,2,1,CreateBackupPlan,/Users/hbwei/terraform-provider-aws/internal/service/backup/plan.go,backup,backup:CreateBackupPlan,backup:CreateBackupPlan,backupPlan,arn:${Partition}:backup:${Region}:${Account}:backup-plan:${BackupPlanId},BackupPlanId,,,,,,,false
athena,aws_athena_named_query,Named Query,0,0,1,2,1,CreateNamedQuery,/Users/hbwei/terraform-provider-aws/internal/service/athena/named_query.go,athena,athena:CreateNamedQuery,athena:CreateNamedQuery,workgroup,arn:${Partition}:athena:${Region}:${Account}:workgroup/${WorkGroupName},WorkGroupName,,,,,,,false
sagemaker,aws_sagemaker_human_task_ui,Human Task UI,0,0,1,2,1,CreateHumanTaskUi,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/human_task_ui.go,sagemaker,sagemaker:CreateHumanTaskUi,sagemaker:CreateHumanTaskUi,human-task-ui,arn:${Partition}:sagemaker:${Region}:${Account}:human-task-ui/${HumanTaskUiName},HumanTaskUiName,CreateHumanTaskUi,CreateHumanTaskUiRequest,HumanTaskUiName,true,HumanTaskUiName,string,true
wafregional,aws_wafregional_regex_match_set,Regex Match Set,1,0,4,5,1,CreateRegexMatchSet,/Users/hbwei/terraform-provider-aws/internal/service/wafregional/regex_match_set.go,waf-regional,waf-regional:CreateRegexMatchSet,waf-regional:CreateRegexMatchSet,regexmatchset,arn:${Partition}:waf-regional:${Region}:${Account}:regexmatch/${Id},Id,,,,,,,false
ds,aws_directory_service_shared_directory,Shared Directory,0,0,1,2,1,ShareDirectory,/Users/hbwei/terraform-provider-aws/internal/service/ds/shared_directory.go,ds,ds:ShareDirectory,ds:ShareDirectory,directory,arn:${Partition}:ds:${Region}:${Account}:directory/${DirectoryId},DirectoryId,ShareDirectory,ShareDirectoryRequest,DirectoryId,true,DirectoryId,string,true
quicksight,aws_quicksight_user,User,0,0,1,2,1,RegisterUser,/Users/hbwei/terraform-provider-aws/internal/service/quicksight/user.go,quicksight,quicksight:RegisterUser,quicksight:RegisterUser,user,arn:${Partition}:quicksight:${Region}:${Account}:user/${ResourceId},ResourceId,,,,,,,false
emrcontainers,aws_emrcontainers_job_template,Job Template,0,0,1,2,1,CreateJobTemplate,/Users/hbwei/terraform-provider-aws/internal/service/emrcontainers/job_template.go,emr-containers,emr-containers:CreateJobTemplate,emr-containers:CreateJobTemplate,,,,,,,,,,false
datasync,aws_datasync_location_hdfs,Location HDFS,0,0,1,2,1,CreateLocationHdfs,/Users/hbwei/terraform-provider-aws/internal/service/datasync/location_hdfs.go,datasync,datasync:CreateLocationHdfs,datasync:CreateLocationHdfs,,,,,,,,,,false
cloudsearch,aws_cloudsearch_domain,Domain,0,1,5,11,5,UpdateDomainEndpointOptions,/Users/hbwei/terraform-provider-aws/internal/service/cloudsearch/domain.go,cloudsearch,cloudsearch:UpdateDomainEndpointOptions,cloudsearch:UpdateDomainEndpointOptions,domain,arn:${Partition}:cloudsearch:${Region}:${Account}:domain/${DomainName},DomainName,UpdateDomainEndpointOptions,UpdateDomainEndpointOptionsRequest,DomainName,true,DomainName,string,true
ec2,aws_ec2_capacity_reservation,Capacity Reservation,0,0,1,2,1,CreateCapacityReservation,/Users/hbwei/terraform-provider-aws/internal/service/ec2/ec2_capacity_reservation.go,ec2,ec2:CreateCapacityReservation,ec2:CreateCapacityReservation,capacity-reservation,arn:${Partition}:ec2:${Region}:${Account}:capacity-reservation/${CapacityReservationId},CapacityReservationId,,,,,,,false
imagebuilder,aws_imagebuilder_distribution_configuration,Distribution Configuration,0,0,1,2,1,CreateDistributionConfiguration,/Users/hbwei/terraform-provider-aws/internal/service/imagebuilder/distribution_configuration.go,imagebuilder,imagebuilder:CreateDistributionConfiguration,imagebuilder:CreateDistributionConfiguration,distributionConfiguration,arn:${Partition}:imagebuilder:${Region}:${Account}:distribution-configuration/${DistributionConfigurationName},DistributionConfigurationName,,,,,,,false
ses,aws_ses_template,Template,0,0,1,2,1,CreateTemplate,/Users/hbwei/terraform-provider-aws/internal/service/ses/template.go,ses,ses:CreateTemplate,ses:CreateTemplate,,,,,,,,,,false
kafka,aws_msk_configuration,Configuration,0,0,2,3,1,CreateConfiguration,/Users/hbwei/terraform-provider-aws/internal/service/kafka/configuration.go,kafka,kafka:CreateConfiguration,kafka:CreateConfiguration,configuration,arn:${Partition}:kafka:${Region}:${Account}:configuration/${ConfigurationName}/${Uuid},ConfigurationName,,,,,,,false
kafka,aws_msk_configuration,Configuration,0,0,2,3,1,CreateConfiguration,/Users/hbwei/terraform-provider-aws/internal/service/kafka/configuration.go,kafka,kafka:CreateConfiguration,kafka:CreateConfiguration,configuration,arn:${Partition}:kafka:${Region}:${Account}:configuration/${ConfigurationName}/${Uuid},Uuid,,,,,,,false
networkmanager,aws_networkmanager_transit_gateway_registration,Transit Gateway Registration,0,0,1,2,1,RegisterTransitGateway,/Users/hbwei/terraform-provider-aws/internal/service/networkmanager/transit_gateway_registration.go,networkmanager,networkmanager:RegisterTransitGateway,networkmanager:RegisterTransitGateway,global-network,arn:${Partition}:networkmanager::${Account}:global-network/${ResourceId},ResourceId,,,,,,,false
ses,aws_ses_configuration_set,Configuration Set,0,0,1,6,5,UpdateConfigurationSetSendingEnabled,/Users/hbwei/terraform-provider-aws/internal/service/ses/configuration_set.go,ses,ses:UpdateConfigurationSetSendingEnabled,ses:UpdateConfigurationSetSendingEnabled,,,,,,,,,,false
autoscaling,aws_autoscaling_group,Group,0,4,1,10,6,PutLifecycleHook,/Users/hbwei/terraform-provider-aws/internal/service/autoscaling/group.go,autoscaling,autoscaling:PutLifecycleHook,autoscaling:PutLifecycleHook,autoScalingGroup,arn:${Partition}:autoscaling:${Region}:${Account}:autoScalingGroup:${GroupId}:autoScalingGroupName/${GroupFriendlyName},GroupId,,,,,,,false
autoscaling,aws_autoscaling_group,Group,0,4,1,10,6,PutLifecycleHook,/Users/hbwei/terraform-provider-aws/internal/service/autoscaling/group.go,autoscaling,autoscaling:PutLifecycleHook,autoscaling:PutLifecycleHook,autoScalingGroup,arn:${Partition}:autoscaling:${Region}:${Account}:autoScalingGroup:${GroupId}:autoScalingGroupName/${GroupFriendlyName},GroupFriendlyName,,,,,,,false
autoscaling,aws_autoscaling_lifecycle_hook,Lifecycle Hook,0,0,1,2,1,PutLifecycleHook,/Users/hbwei/terraform-provider-aws/internal/service/autoscaling/lifecycle_hook.go,autoscaling,autoscaling:PutLifecycleHook,autoscaling:PutLifecycleHook,autoScalingGroup,arn:${Partition}:autoscaling:${Region}:${Account}:autoScalingGroup:${GroupId}:autoScalingGroupName/${GroupFriendlyName},GroupId,,,,,,,false
autoscaling,aws_autoscaling_lifecycle_hook,Lifecycle Hook,0,0,1,2,1,PutLifecycleHook,/Users/hbwei/terraform-provider-aws/internal/service/autoscaling/lifecycle_hook.go,autoscaling,autoscaling:PutLifecycleHook,autoscaling:PutLifecycleHook,autoScalingGroup,arn:${Partition}:autoscaling:${Region}:${Account}:autoScalingGroup:${GroupId}:autoScalingGroupName/${GroupFriendlyName},GroupFriendlyName,,,,,,,false
route53resolver,aws_route53_resolver_firewall_domain_list,Firewall Domain List,0,0,2,4,2,UpdateFirewallDomains,/Users/hbwei/terraform-provider-aws/internal/service/route53resolver/firewall_domain_list.go,route53resolver,route53resolver:UpdateFirewallDomains,route53resolver:UpdateFirewallDomains,firewall-domain-list,arn:${Partition}:route53resolver:${Region}:${Account}:firewall-domain-list/${ResourceId},ResourceId,,,,,,,false
iot,aws_iot_authorizer,Authorizer,0,0,1,2,1,CreateAuthorizer,/Users/hbwei/terraform-provider-aws/internal/service/iot/authorizer.go,iot,iot:CreateAuthorizer,iot:CreateAuthorizer,authorizer,arn:${Partition}:iot:${Region}:${Account}:authorizer/${AuthorizerName},AuthorizerName,CreateAuthorizer,CreateAuthorizerRequest,authorizerName,true,AuthorizerName,string,true
autoscaling,aws_autoscaling_group,Group,0,4,1,10,6,UpdateAutoScalingGroup,/Users/hbwei/terraform-provider-aws/internal/service/autoscaling/group.go,autoscaling,autoscaling:UpdateAutoScalingGroup,autoscaling:UpdateAutoScalingGroup,autoScalingGroup,arn:${Partition}:autoscaling:${Region}:${Account}:autoScalingGroup:${GroupId}:autoScalingGroupName/${GroupFriendlyName},GroupId,,,,,,,false
autoscaling,aws_autoscaling_group,Group,0,4,1,10,6,UpdateAutoScalingGroup,/Users/hbwei/terraform-provider-aws/internal/service/autoscaling/group.go,autoscaling,autoscaling:UpdateAutoScalingGroup,autoscaling:UpdateAutoScalingGroup,autoScalingGroup,arn:${Partition}:autoscaling:${Region}:${Account}:autoScalingGroup:${GroupId}:autoScalingGroupName/${GroupFriendlyName},GroupFriendlyName,,,,,,,false
iot,aws_iot_topic_rule_destination,Topic Rule Destination,0,2,2,4,2,UpdateTopicRuleDestination,/Users/hbwei/terraform-provider-aws/internal/service/iot/topic_rule_destination.go,iot,iot:UpdateTopicRuleDestination,iot:UpdateTopicRuleDestination,destination,arn:${Partition}:iot:${Region}:${Account}:ruledestination/${DestinationType}/${Uuid},DestinationType,,,,,,,false
iot,aws_iot_topic_rule_destination,Topic Rule Destination,0,2,2,4,2,UpdateTopicRuleDestination,/Users/hbwei/terraform-provider-aws/internal/service/iot/topic_rule_destination.go,iot,iot:UpdateTopicRuleDestination,iot:UpdateTopicRuleDestination,destination,arn:${Partition}:iot:${Region}:${Account}:ruledestination/${DestinationType}/${Uuid},Uuid,,,,,,,false
wafregional,aws_wafregional_rate_based_rule,Rate Based Rule,1,0,3,4,1,CreateRateBasedRule,/Users/hbwei/terraform-provider-aws/internal/service/wafregional/rate_based_rule.go,waf-regional,waf-regional:CreateRateBasedRule,waf-regional:CreateRateBasedRule,ratebasedrule,arn:${Partition}:waf-regional:${Region}:${Account}:ratebasedrule/${Id},Id,,,,,,,false
gamelift,aws_gamelift_build,Build,0,0,1,2,1,CreateBuild,/Users/hbwei/terraform-provider-aws/internal/service/gamelift/build.go,gamelift,gamelift:CreateBuild,gamelift:CreateBuild,,,,,,,,,,false
gamelift,aws_gamelift_build,Build,0,0,1,2,1,CreateBuild,/Users/hbwei/terraform-provider-aws/internal/service/gamelift/build.go,gamelift,gamelift:CreateBuild,gamelift:CreateBuild,,,,,,,,,,false
cloudfront,aws_cloudfront_origin_access_identity,Origin Access Identity,0,0,1,2,1,CreateCloudFrontOriginAccessIdentity,/Users/hbwei/terraform-provider-aws/internal/service/cloudfront/origin_access_identity.go,cloudfront,cloudfront:CreateCloudFrontOriginAccessIdentity,cloudfront:CreateCloudFrontOriginAccessIdentity,,,,,,,,,,false
wafregional,aws_wafregional_byte_match_set,Byte Match Set,1,0,4,5,1,CreateByteMatchSet,/Users/hbwei/terraform-provider-aws/internal/service/wafregional/byte_match_set.go,waf-regional,waf-regional:CreateByteMatchSet,waf-regional:CreateByteMatchSet,bytematchset,arn:${Partition}:waf-regional:${Region}:${Account}:bytematchset/${Id},Id,,,,,,,false
lightsail,aws_lightsail_container_service,Container Service,0,1,1,3,2,UpdateContainerService,/Users/hbwei/terraform-provider-aws/internal/service/lightsail/container_service.go,lightsail,lightsail:UpdateContainerService,lightsail:UpdateContainerService,ContainerService,arn:${Partition}:lightsail:${Region}:${Account}:ContainerService/${Id},Id,,,,,,,false
signer,aws_signer_signing_profile,Signing Profile,0,0,1,2,1,PutSigningProfile,/Users/hbwei/terraform-provider-aws/internal/service/signer/signing_profile.go,signer,signer:PutSigningProfile,signer:PutSigningProfile,,,,,,,,,,false
cur,aws_cur_report_definition,Report Definition,0,0,1,2,1,PutReportDefinition,/Users/hbwei/terraform-provider-aws/internal/service/cur/report_definition.go,cur,cur:PutReportDefinition,cur:PutReportDefinition,cur,arn:${Partition}:cur:${Region}:${Account}:definition/${ReportName},ReportName,,,,,,,false
evidently,aws_evidently_launch,Launch,0,0,1,2,1,CreateLaunch,/Users/hbwei/terraform-provider-aws/internal/service/evidently/launch.go,evidently,evidently:CreateLaunch,evidently:CreateLaunch,,,,,,,,,,false
devicefarm,aws_devicefarm_upload,Upload,0,0,1,2,1,CreateUpload,/Users/hbwei/terraform-provider-aws/internal/service/devicefarm/upload.go,devicefarm,devicefarm:CreateUpload,devicefarm:CreateUpload,project,arn:${Partition}:devicefarm:${Region}:${Account}:project:${ResourceId},ResourceId,,,,,,,false
sagemaker,aws_sagemaker_app,App,0,0,2,3,1,CreateApp,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/app.go,sagemaker,sagemaker:CreateApp,sagemaker:CreateApp,app,arn:${Partition}:sagemaker:${Region}:${Account}:app/${DomainId}/${UserProfileName}/${AppType}/${AppName},DomainId,CreateApp,CreateAppRequest,DomainId,true,DomainId,string,true
sagemaker,aws_sagemaker_app,App,0,0,2,3,1,CreateApp,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/app.go,sagemaker,sagemaker:CreateApp,sagemaker:CreateApp,app,arn:${Partition}:sagemaker:${Region}:${Account}:app/${DomainId}/${UserProfileName}/${AppType}/${AppName},UserProfileName,CreateApp,CreateAppRequest,UserProfileName,false,UserProfileName,string,true
sagemaker,aws_sagemaker_app,App,0,0,2,3,1,CreateApp,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/app.go,sagemaker,sagemaker:CreateApp,sagemaker:CreateApp,app,arn:${Partition}:sagemaker:${Region}:${Account}:app/${DomainId}/${UserProfileName}/${AppType}/${AppName},AppType,CreateApp,CreateAppRequest,AppType,true,AppType,string,true
sagemaker,aws_sagemaker_app,App,0,0,2,3,1,CreateApp,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/app.go,sagemaker,sagemaker:CreateApp,sagemaker:CreateApp,app,arn:${Partition}:sagemaker:${Region}:${Account}:app/${DomainId}/${UserProfileName}/${AppType}/${AppName},AppName,CreateApp,CreateAppRequest,AppName,true,AppName,string,true
ses,aws_ses_identity_notification_topic,Identity Notification Topic,0,0,1,3,2,SetIdentityHeadersInNotificationsEnabled,/Users/hbwei/terraform-provider-aws/internal/service/ses/identity_notification_topic.go,ses,ses:SetIdentityHeadersInNotificationsEnabled,ses:SetIdentityHeadersInNotificationsEnabled,,,,,,,,,,false
inspector,aws_inspector_assessment_target,Assessment Target,0,0,1,2,1,CreateAssessmentTarget,/Users/hbwei/terraform-provider-aws/internal/service/inspector/assessment_target.go,inspector,inspector:CreateAssessmentTarget,inspector:CreateAssessmentTarget,,,,,,,,,,false
lightsail,aws_lightsail_disk_attachment,Disk Attachment,0,0,2,3,1,AttachDisk,/Users/hbwei/terraform-provider-aws/internal/service/lightsail/disk_attachment.go,lightsail,lightsail:AttachDisk,lightsail:AttachDisk,Disk,arn:${Partition}:lightsail:${Region}:${Account}:Disk/${Id},Id,,,,,,,false
macie2,aws_macie2_account,Account,0,0,1,2,1,EnableMacie,/Users/hbwei/terraform-provider-aws/internal/service/macie2/account.go,macie2,macie2:EnableMacie,macie2:EnableMacie,,,,,,,,,,false
lightsail,aws_lightsail_domain_entry,Domain Entry,0,0,2,3,1,CreateDomainEntry,/Users/hbwei/terraform-provider-aws/internal/service/lightsail/domain_entry.go,lightsail,lightsail:CreateDomainEntry,lightsail:CreateDomainEntry,Domain,arn:${Partition}:lightsail:${Region}:${Account}:Domain/${Id},Id,,,,,,,false
ses,aws_ses_domain_identity,Domain Identity,0,0,1,2,1,VerifyDomainIdentity,/Users/hbwei/terraform-provider-aws/internal/service/ses/domain_identity.go,ses,ses:VerifyDomainIdentity,ses:VerifyDomainIdentity,,,,,,,,,,false
rds,aws_db_snapshot,DB Snapshot,0,1,2,4,2,ModifyDBSnapshotAttribute,/Users/hbwei/terraform-provider-aws/internal/service/rds/snapshot.go,rds,rds:ModifyDBSnapshotAttribute,rds:ModifyDBSnapshotAttribute,snapshot,arn:${Partition}:rds:${Region}:${Account}:snapshot:${SnapshotName},SnapshotName,,,,,,,false
rds,aws_db_snapshot_copy,DB Snapshot Copy,0,1,2,4,2,ModifyDBSnapshotAttribute,/Users/hbwei/terraform-provider-aws/internal/service/rds/snapshot_copy.go,rds,rds:ModifyDBSnapshotAttribute,rds:ModifyDBSnapshotAttribute,snapshot,arn:${Partition}:rds:${Region}:${Account}:snapshot:${SnapshotName},SnapshotName,,,,,,,false
ivschat,aws_ivschat_room,Room,0,0,1,2,1,CreateRoom,/Users/hbwei/terraform-provider-aws/internal/service/ivschat/room.go,ivschat,ivschat:CreateRoom,ivschat:CreateRoom,Room,arn:${Partition}:ivschat:${Region}:${Account}:room/${ResourceId},ResourceId,,,,,,,false
iam,aws_iam_service_specific_credential,Service Specific Credential,0,0,1,3,2,UpdateServiceSpecificCredential,/Users/hbwei/terraform-provider-aws/internal/service/iam/service_specific_credential.go,iam,iam:UpdateServiceSpecificCredential,iam:UpdateServiceSpecificCredential,user,arn:${Partition}:iam::${Account}:user/${UserNameWithPath},UserNameWithPath,,,,,,,false
scheduler,aws_scheduler_schedule,Schedule,0,0,1,2,1,CreateSchedule,/Users/hbwei/terraform-provider-aws/internal/service/scheduler/schedule.go,scheduler,scheduler:CreateSchedule,scheduler:CreateSchedule,schedule,arn:${Partition}:scheduler:${Region}:${Account}:schedule/${GroupName}/${ScheduleName},GroupName,CreateSchedule,CreateScheduleInput,GroupName,false,ScheduleGroupName,string,true
scheduler,aws_scheduler_schedule,Schedule,0,0,1,2,1,CreateSchedule,/Users/hbwei/terraform-provider-aws/internal/service/scheduler/schedule.go,scheduler,scheduler:CreateSchedule,scheduler:CreateSchedule,schedule,arn:${Partition}:scheduler:${Region}:${Account}:schedule/${GroupName}/${ScheduleName},ScheduleName,,,,,,,false
gamelift,aws_gamelift_game_session_queue,Game Session Queue,0,0,1,2,1,CreateGameSessionQueue,/Users/hbwei/terraform-provider-aws/internal/service/gamelift/game_session_queue.go,gamelift,gamelift:CreateGameSessionQueue,gamelift:CreateGameSessionQueue,,,,,,,,,,false
gamelift,aws_gamelift_game_session_queue,Game Session Queue,0,0,1,2,1,CreateGameSessionQueue,/Users/hbwei/terraform-provider-aws/internal/service/gamelift/game_session_queue.go,gamelift,gamelift:CreateGameSessionQueue,gamelift:CreateGameSessionQueue,,,,,,,,,,false
