TF_service_name,TF_terraform_resource_name,TF_aws_sdk_resource_name,TF_num_before_sdk_calls,TF_num_intermediate_sdk_calls,TF_num_after_sdk_calls,TF_num_create_function_stack_calls,TF_num_create_function_only_calls,TF_create_function_only_calls,TF_file_path,SR_service_name,SR_operation_name,SR_authorized_actions-authorized_action-Name,SR_authorized_actions-action_details-resource_details-name,SR_authorized_actions-action_details-resource_details-arn-arn_template,SR_authorized_actions-action_details-resource_details-arn-arn_variables,BC_operation_name,BC_input_shape_name,BC_member_name,BC_is_required,BC_member_shape_name,BC_member_shape_type,TF_successful_arn_variable_match
ssm,aws_ssm_maintenance_window_target,Maintenance Window Target,0,0,1,2,1,RegisterTargetWithMaintenanceWindow,/Users/hbwei/terraform-provider-aws/internal/service/ssm/maintenance_window_target.go,ssm,ssm:RegisterTargetWithMaintenanceWindow,ssm:RegisterTargetWithMaintenanceWindow,maintenancewindow,arn:${Partition}:ssm:${Region}:${Account}:maintenancewindow/${ResourceId},ResourceId,,,,,,,false
servicediscovery,aws_service_discovery_private_dns_namespace,Private DNS Namespace,0,0,2,3,1,CreatePrivateDnsNamespace,/Users/hbwei/terraform-provider-aws/internal/service/servicediscovery/private_dns_namespace.go,servicediscovery,servicediscovery:CreatePrivateDnsNamespace,servicediscovery:CreatePrivateDnsNamespace,,,,,,,,,,false
waf,aws_waf_regex_pattern_set,Regex Pattern Set,1,0,4,5,1,CreateRegexPatternSet,/Users/hbwei/terraform-provider-aws/internal/service/waf/regex_pattern_set.go,waf,waf:CreateRegexPatternSet,waf:CreateRegexPatternSet,regexpatternset,arn:${Partition}:waf::${Account}:regexpatternset/${Id},Id,,,,,,,false
kms,aws_kms_grant,Grant,0,0,1,2,1,CreateGrant,/Users/hbwei/terraform-provider-aws/internal/service/kms/grant.go,kms,kms:CreateGrant,kms:CreateGrant,key,arn:${Partition}:kms:${Region}:${Account}:key/${KeyId},KeyId,CreateGrant,CreateGrantRequest,KeyId,true,KeyIdType,string,true
gamelift,aws_gamelift_fleet,Fleet,0,0,3,4,1,CreateFleet,/Users/hbwei/terraform-provider-aws/internal/service/gamelift/fleet.go,gamelift,gamelift:CreateFleet,gamelift:CreateFleet,,,,,,,,,,false
gamelift,aws_gamelift_fleet,Fleet,0,0,3,4,1,CreateFleet,/Users/hbwei/terraform-provider-aws/internal/service/gamelift/fleet.go,gamelift,gamelift:CreateFleet,gamelift:CreateFleet,,,,,,,,,,false
iam,aws_iam_access_key,Access Key,0,0,0,2,2,UpdateAccessKey,/Users/hbwei/terraform-provider-aws/internal/service/iam/access_key.go,iam,iam:UpdateAccessKey,iam:UpdateAccessKey,user,arn:${Partition}:iam::${Account}:user/${UserNameWithPath},UserNameWithPath,,,,,,,false
lightsail,aws_lightsail_instance,Instance,0,1,2,4,2,CreateInstances,/Users/hbwei/terraform-provider-aws/internal/service/lightsail/instance.go,lightsail,lightsail:CreateInstances,lightsail:CreateInstances,,,,,,,,,,false
ds,aws_directory_service_log_subscription,Log Subscription,0,0,1,2,1,CreateLogSubscription,/Users/hbwei/terraform-provider-aws/internal/service/ds/log_subscription.go,ds,ds:CreateLogSubscription,ds:CreateLogSubscription,directory,arn:${Partition}:ds:${Region}:${Account}:directory/${DirectoryId},DirectoryId,CreateLogSubscription,CreateLogSubscriptionRequest,DirectoryId,true,DirectoryId,string,true
redshiftserverless,aws_redshiftserverless_workgroup,Workgroup,0,0,1,2,1,CreateWorkgroup,/Users/hbwei/terraform-provider-aws/internal/service/redshiftserverless/workgroup.go,redshift-serverless,redshift-serverless:CreateWorkgroup,redshift-serverless:CreateWorkgroup,workgroup,arn:${Partition}:redshift-serverless:${Region}:${Account}:workgroup/${WorkgroupId},WorkgroupId,,,,,,,false
